07747;240;2.6;42.737167,2.872833
07577;20;4.1;44.581167,4.733
07643;20;1.5;43.577,3.963167
07627;320;5.1;43.005333,1.106833
07643;260;5.7;43.577,3.963167
07761;130;1.0;41.918,8.792667
07207;330;7.7;47.294333,-3.218333
07607;280;3.6;43.909833,-0.500167
07510;260;6.2;44.830667,-0.691333
07460;290;5.7;45.786833,3.149333
07591;190;1.5;44.565667,6.502333
07761;30;1.5;41.918,8.792667
07240;240;8.2;47.4445,0.727333
07117;260;9.3;48.825833,-3.473167
07761;240;2.1;41.918,8.792667
07015;290;8.7;50.57,3.0975
07747;310;8.7;42.737167,2.872833
07005;270;8.2;50.136,1.834
07481;150;4.1;45.7265,5.077833
07621;270;4.1;43.188,0.0
07299;250;6.7;47.614333,7.51
07240;270;4.1;47.4445,0.727333
07535;250;2.6;44.745,1.396667
07661;290;20.1;43.079333,5.940833
07627;330;3.6;43.005333,1.106833
07015;290;7.2;50.57,3.0975
07627;280;2.1;43.005333,1.106833
07190;270;4.6;48.5495,7.640333
07558;300;12.9;44.1185,3.0195
07005;260;9.8;50.136,1.834
07314;250;3.6;46.046833,-1.4115
07577;40;4.6;44.581167,4.733
07690;340;5.7;43.648833,7.209
07130;250;4.1;48.068833,-1.734
07149;280;5.1;48.716833,2.384333
07460;270;3.1;45.786833,3.149333
07661;260;11.3;43.079333,5.940833
07481;190;2.1;45.7265,5.077833
07110;290;2.6;48.444167,-4.412
07190;240;2.6;48.5495,7.640333
07015;270;3.6;50.57,3.0975
07139;290;3.6;48.4455,0.110167
07240;260;2.6;47.4445,0.727333
07255;260;2.1;47.059167,2.359833
07627;330;2.6;43.005333,1.106833
07661;220;3.1;43.079333,5.940833
07005;300;3.6;50.136,1.834
07181;240;4.1;48.581,5.959833
07643;330;2.6;43.577,3.963167
07139;260;4.1;48.4455,0.110167
07255;250;2.6;47.059167,2.359833
07280;210;1.5;47.267833,5.088333
07510;200;0.5;44.830667,-0.691333
07535;290;0.5;44.745,1.396667
07149;240;2.6;48.716833,2.384333
07005;150;4.6;50.136,1.834
07207;290;7.7;47.294333,-3.218333
07558;280;4.6;44.1185,3.0195
07222;290;4.1;47.15,-1.608833
07471;320;3.6;45.0745,3.764
07630;280;6.2;43.621,1.378833
07650;330;10.3;43.437667,5.216
07747;310;4.6;42.737167,2.872833
07661;180;3.1;43.079333,5.940833
07335;220;2.1;46.593833,0.314333
07790;190;2.1;42.540667,9.485167
07255;250;1.5;47.059167,2.359833
07471;320;3.1;45.0745,3.764
07650;320;6.7;43.437667,5.216
07747;310;13.4;42.737167,2.872833
07110;310;1.0;48.444167,-4.412
07650;330;7.2;43.437667,5.216
07240;270;3.1;47.4445,0.727333
07510;330;0.5;44.830667,-0.691333
07190;40;1.5;48.5495,7.640333
07240;190;3.1;47.4445,0.727333
07110;270;3.6;48.444167,-4.412
07255;140;2.1;47.059167,2.359833
07434;200;1.5;45.861167,1.175
07607;0;0.0;43.909833,-0.500167
07630;180;2.6;43.621,1.378833
07117;220;3.6;48.825833,-3.473167
07790;220;3.6;42.540667,9.485167
07747;230;1.0;42.737167,2.872833
07761;40;2.6;41.918,8.792667
07471;240;3.1;45.0745,3.764
07149;190;2.1;48.716833,2.384333
07181;190;4.1;48.581,5.959833
07139;270;1.5;48.4455,0.110167
07181;200;3.1;48.581,5.959833
07110;240;2.1;48.444167,-4.412
07190;0;0.0;48.5495,7.640333
07650;0;0.0;43.437667,5.216
07630;300;2.1;43.621,1.378833
07117;280;5.1;48.825833,-3.473167
07434;310;1.5;45.861167,1.175
07222;260;2.6;47.15,-1.608833
07110;10;1.5;48.444167,-4.412
07168;150;2.6;48.324667,4.02
07434;0;0.0;45.861167,1.175
07222;280;4.1;47.15,-1.608833
07181;210;1.0;48.581,5.959833
07643;300;3.6;43.577,3.963167
07510;230;1.0;44.830667,-0.691333
07222;290;1.5;47.15,-1.608833
07314;180;3.6;46.046833,-1.4115
07299;110;3.6;47.614333,7.51
07607;80;4.1;43.909833,-0.500167
07690;330;4.1;43.648833,7.209
07207;350;5.1;47.294333,-3.218333
07690;330;3.6;43.648833,7.209
07117;10;8.7;48.825833,-3.473167
07621;170;2.6;43.188,0.0
07747;340;5.1;42.737167,2.872833
07181;40;2.6;48.581,5.959833
07591;0;0.0;44.565667,6.502333
07005;50;2.6;50.136,1.834
07190;30;4.6;48.5495,7.640333
07460;340;2.6;45.786833,3.149333
07207;20;2.6;47.294333,-3.218333
07280;360;5.1;47.267833,5.088333
07314;10;8.2;46.046833,-1.4115
07110;10;2.1;48.444167,-4.412
07149;40;5.7;48.716833,2.384333
07558;330;11.3;44.1185,3.0195
07207;20;3.6;47.294333,-3.218333
07607;330;1.0;43.909833,-0.500167
07240;360;5.1;47.4445,0.727333
07607;330;1.5;43.909833,-0.500167
07558;340;9.8;44.1185,3.0195
07255;10;3.1;47.059167,2.359833
07690;10;7.2;43.648833,7.209
07747;320;9.8;42.737167,2.872833
07020;100;3.1;49.725167,-1.939833
07591;60;8.2;44.565667,6.502333
07577;20;7.7;44.581167,4.733
07627;0;0.0;43.005333,1.106833
07207;320;5.1;47.294333,-3.218333
07299;340;1.0;47.614333,7.51
07434;140;0.5;45.861167,1.175
07481;340;3.1;45.7265,5.077833
07207;290;9.8;47.294333,-3.218333
07577;20;5.1;44.581167,4.733
07481;330;4.6;45.7265,5.077833
07650;310;13.4;43.437667,5.216
07037;240;9.3;49.383,1.181667
07222;260;7.2;47.15,-1.608833
